Honda	Ridgeline	2016 Ridgeline Crew Cab	2016	Not Available	Truck	Not Available	Not Available	 Gas	Not Available	Not Available	 Four Wheel Drive	 Regular unleaded	Not Available	Not Available	Not Available	Not Available	Not Available	Not Available	Not Available
Honda	Pilot	2015 Pilot SUV	2015	 18/25 mpg	SUV	 5-speed Automatic	 3 Yr./ 36000 Mi.	 Gas	8	V6	 Front Wheel Drive	 Regular unleaded	 3.5 L	 250 hp @ 5700 rpm	 253 ft-lbs. @ 4800 rpm	$29,870	        Yes	        No	        No
Honda	Pilot	2016 Pilot SUV	2016	 19/27 mpg	SUV	 6-speed Automatic	 3 Yr./ 36000 Mi.	 Gas	8	V6	 Front Wheel Drive	 Regular unleaded	 3.5 L	 280 hp @ 6000 rpm	 262 ft-lbs. @ 4700 rpm	$29,995	        Yes	        No	        No
Honda	Ridgeline	2014 Ridgeline Crew Cab	2014	 15/21 mpg	Truck	 5-speed Automatic	 3 Yr./ 36000 Mi.	 Gas	5	V6	 Four Wheel Drive	 Regular unleaded	 3.5 L	 250 hp @ 5700 rpm	 247 ft-lbs. @ 4300 rpm	$29,575	        No	        No	        No
Porsche	Cayman	2016 Cayman Coupe	2016	 20/30 mpg	Coupe	 6-speed Manual	 4 Yr./ 50000 Mi.	 Gas	2	Flat 6	 Rear Wheel Drive	 Premium unleaded (required)	 2.7 L	 275 hp @ 7400 rpm	 214 ft-lbs. @ 4500 rpm	$52,600	        Yes	        Yes	        Yes
Porsche	Cayenne	2014 Cayenne Hybrid	2014	 20/24 mpg	SUV	 8-speed Shiftable Automatic	 4 Yr./ 50000 Mi.	 Hybrid	5	V6	 All Wheel Drive	 Premium unleaded (required)	 3.0 L	 380 hp @ 5500 rpm	 428 ft-lbs. @ 1000 rpm	$70,900	        Yes	        Yes	        No
Porsche	Cayenne	2016 Cayenne Diesel	2016	 20/29 mpg	SUV	 8-speed Shiftable Automatic	 4 Yr./ 50000 Mi.	 Diesel	5	V6	 All Wheel Drive	 Diesel	 3.0 L	 240 hp @ 3500 rpm	 406 ft-lbs. @ 1750 rpm	$62,300	        Yes	        Yes	        Yes
Porsche	Cayman	2015 Cayman Coupe	2015	 20/30 mpg	Coupe	 6-speed Manual	 4 Yr./ 50000 Mi.	 Gas	2	Flat 6	 Rear Wheel Drive	 Premium unleaded (required)	 2.7 L	 275 hp @ 7400 rpm	 214 ft-lbs. @ 4500 rpm	$52,600	        Yes	        Yes	        Yes
Porsche	Cayenne	2015 Cayenne Diesel	2015	 20/29 mpg	SUV	 8-speed Shiftable Automatic	 4 Yr./ 50000 Mi.	 Diesel	5	V6	 All Wheel Drive	 Diesel	 3.0 L	 240 hp @ 3500 rpm	 406 ft-lbs. @ 1750 rpm	$61,700	        Yes	        Yes	        Yes
Porsche	911	2015 911 GT3	2015	 15/20 mpg	Coupe	 7-speed Automated Manual	 4 Yr./ 50000 Mi.	 Gas	2	Flat 6	 Rear Wheel Drive	 Premium unleaded (required)	 3.8 L	 475 hp @ 8250 rpm	 325 ft-lbs. @ 6250 rpm	$130,400	        No	        Yes	        No
Porsche	Cayenne	2014 Cayenne Diesel	2014	 19/29 mpg	SUV	 8-speed Shiftable Automatic	 4 Yr./ 50000 Mi.	 Diesel	5	V6	 All Wheel Drive	 Diesel	 3.0 L	 240 hp @ 3500 rpm	 406 ft-lbs. @ 1750 rpm	$56,600	        Yes	        Yes	        No
Porsche	911	2014 911 GT3	2014	 15/20 mpg	Coupe	 7-speed Automated Manual	 4 Yr./ 50000 Mi.	 Gas	2	Flat 6	 Rear Wheel Drive	 Premium unleaded (required)	 3.8 L	 475 hp @ 8250 rpm	 325 ft-lbs. @ 6250 rpm	$130,400	        No	        Yes	        No
Porsche	911	2016 911 GT3 RS	2016	 14/20 mpg	Coupe	 7-speed Automated Manual	 4 Yr./ 50000 Mi.	 Gas	2	Flat 6	 Rear Wheel Drive	 Premium unleaded (required)	 4.0 L	 500 hp @ 8250 rpm	 338 ft-lbs. @ 6250 rpm	$175,900	        Yes	        Yes	        No
Chrysler	300	2016 300 Sedan	2016	 19/31 mpg	Sedan	 8-speed Shiftable Automatic	 3 Yr./ 36000 Mi.	 Gas	5	V6	 Rear Wheel Drive	 Regular unleaded	 3.6 L	 292 hp @ 6350 rpm	 260 ft-lbs. @ 4800 rpm	$32,015	        Yes	        Yes	        No
Chrysler	300	2014 300 SRT8 Core	2014	 14/23 mpg	Sedan	 5-speed Shiftable Automatic	 3 Yr./ 36000 Mi.	 Gas	5	V8	 Rear Wheel Drive	 Premium unleaded (recommended)	 6.4 L	 470 hp @ 6000 rpm	 470 ft-lbs. @ 4300 rpm	$44,900	        Yes	        No	        No
Chrysler	300	2015 300 Sedan	2015	 19/31 mpg	Sedan	 8-speed Shiftable Automatic	 3 Yr./ 36000 Mi.	 Gas	5	V6	 Rear Wheel Drive	 Regular unleaded	 3.6 L	 292 hp @ 6350 rpm	 260 ft-lbs. @ 4800 rpm	$31,695	        Yes	        Yes	        No
Chrysler	Town and Country	2017 Town and Country Minivan	2017	Not Available	Minivan	Not Available	Not Available	 Gas	Not Available	Not Available	Not Available	 Regular unleaded	Not Available	Not Available	Not Available	Not Available	Not Available	Not Available	Not Available
Chrysler	300	2014 300 SRT8	2014	 14/23 mpg	Sedan	 5-speed Shiftable Automatic	 3 Yr./ 36000 Mi.	 Gas	5	V8	 Rear Wheel Drive	 Premium unleaded (recommended)	 6.4 L	 470 hp @ 6000 rpm	 470 ft-lbs. @ 4300 rpm	$48,900	        Yes	        Yes	        Yes
Volvo	XC70	2014 XC70 Wagon	2014	 18/26 mpg	Wagon	 6-speed Shiftable Automatic	 4 Yr./ 50000 Mi.	 Gas	5	Inline 6	 Front Wheel Drive	 Regular unleaded	 3.2 L	 240 hp @ 6200 rpm	 236 ft-lbs. @ 6200 rpm	$34,500	        Yes	        Yes	        No
Chrysler	Town and Country	2016 Town and Country Minivan	2016	 17/25 mpg	Minivan	 6-speed Shiftable Automatic	 3 Yr./ 36000 Mi.	 Flex-fuel (ffv)	7	V6	 Front Wheel Drive	 Flex-fuel (FFV)	 3.6 L	 283 hp @ 6400 rpm	 260 ft-lbs. @ 4400 rpm	$29,995	        Yes	        No	        No
Chrysler	200	2016 200 Sedan	2016	 23/36 mpg	Sedan	 9-speed Automatic	 3 Yr./ 36000 Mi.	 Flex-fuel (ffv)	5	Inline 4	 Front Wheel Drive	 Flex-fuel (FFV)	 2.4 L	 184 hp @ 6250 rpm	 173 ft-lbs. @ 4600 rpm	$21,995	        No	        No	        No
Chrysler	200	2015 200 Sedan	2015	 23/36 mpg	Sedan	 9-speed Automatic	 3 Yr./ 36000 Mi.	 Flex-fuel (ffv)	5	Inline 4	 Front Wheel Drive	 Flex-fuel (FFV)	 2.4 L	 184 hp @ 6250 rpm	 173 ft-lbs. @ 4600 rpm	$21,995	        No	        No	        No
Volvo	XC90	2016 XC90 SUV	2016	 20/25 mpg	SUV	 8-speed Automatic	 4 Yr./ 50000 Mi.	 Gas	7	Inline 4	 All Wheel Drive	 Premium unleaded (recommended)	 2.0 L	 316 hp @ 5700 rpm	 295 ft-lbs. @ 4500 rpm	$48,900	        Yes	        Yes	        Yes
Volvo	XC70	2016 XC70 Wagon	2016	 23/31 mpg	Wagon	 8-speed Shiftable Automatic	 4 Yr./ 50000 Mi.	 Gas	5	Inline 4	 Front Wheel Drive	 Regular unleaded	 2.0 L	 240 hp @ 5600 rpm	 258 ft-lbs. @ 1500 rpm	$37,100	        Yes	        Yes	        No
Volvo	XC70	2015 XC70 Wagon	2015	 24/31 mpg	Wagon	 8-speed Shiftable Automatic	 4 Yr./ 50000 Mi.	 Gas	5	Inline 4	 Front Wheel Drive	 Regular unleaded	 2.0 L	 240 hp @ 5600 rpm	 258 ft-lbs. @ 1500 rpm	$35,400	        Yes	        Yes	        No
Chrysler	200	2014 200 Sedan	2014	 19/29 mpg	Sedan	 6-speed Shiftable Automatic	 3 Yr./ 36000 Mi.	 Flex-fuel (ffv)	5	V6	 Front Wheel Drive	 Flex-fuel (FFV)	 3.6 L	 283 hp @ 6400 rpm	 260 ft-lbs. @ 4400 rpm	$21,795	        No	        Yes	        No
Volvo	XC90	2014 XC90 SUV	2014	 16/25 mpg	SUV	 6-speed Shiftable Automatic	 4 Yr./ 50000 Mi.	 Gas	7	Inline 6	 Front Wheel Drive	 Regular unleaded	 3.2 L	 240 hp @ 6400 rpm	 236 ft-lbs. @ 3200 rpm	$39,700	        Yes	        Yes	        No
Chrysler	Town and Country	2015 Town and Country Minivan	2015	 17/25 mpg	Minivan	 6-speed Shiftable Automatic	 3 Yr./ 36000 Mi.	 Flex-fuel (ffv)	7	V6	 Front Wheel Drive	 Flex-fuel (FFV)	 3.6 L	 283 hp @ 6400 rpm	 260 ft-lbs. @ 4400 rpm	$29,995	        Yes	        No	        No
Chrysler	Town and Country	2014 Town and Country Minivan	2014	 17/25 mpg	Minivan	 6-speed Shiftable Automatic	 3 Yr./ 36000 Mi.	 Flex-fuel (ffv)	7	V6	 Front Wheel Drive	 Flex-fuel (FFV)	 3.6 L	 283 hp @ 6400 rpm	 260 ft-lbs. @ 4400 rpm	$30,765	        Yes	        Yes	        No
