Honda	Ridgeline	2016 Ridgeline Crew Cab	2016	Not Available	Truck	Not Available	Not Available	 Gas	Not Available	Not Available	 Four Wheel Drive	 Regular unleaded	Not Available	Not Available	Not Available	Not Available	Not Available	Not Available	Not Available
Audi	Q5	2015 Q5 SUV	2015	 20/28 mpg	SUV	 8-speed Shiftable Automatic	 4 Yr./ 50000 Mi.	 Gas	5	Inline 4	 All Wheel Drive	 Premium unleaded (required)	 2.0 L	 220 hp @ 4450 rpm	 258 ft-lbs. @ 1500 rpm	$39,300	        Yes	        Yes	        No
Audi	Q5	2014 Q5 SUV	2014	 20/28 mpg	SUV	 8-speed Shiftable Automatic	 4 Yr./ 50000 Mi.	 Gas	5	Inline 4	 All Wheel Drive	 Premium unleaded (required)	 2.0 L	 220 hp @ 4450 rpm	 258 ft-lbs. @ 1500 rpm	$37,300	        Yes	        Yes	        No
Audi	Q7	2015 Q7 SUV	2015	 16/22 mpg	SUV	 8-speed Shiftable Automatic	 4 Yr./ 50000 Mi.	 Gas	7	V6	 All Wheel Drive	 Premium unleaded (required)	 3.0 L	 280 hp @ 4920 rpm	 295 ft-lbs. @ 2150 rpm	$48,300	        Yes	        Yes	        No
Audi	Q7 e-tron	2016 Q7 e-tron SUV	2016	Not Available	SUV	Not Available	Not Available	 Hybrid	Not Available	Not Available	 All Wheel Drive	 Diesel fuel	Not Available	Not Available	Not Available	Not Available	Not Available	Not Available	Not Available
Audi	R8	2015 R8 Convertible	2015	 11/20 mpg	Convertible	 6-speed Manual	 4 Yr./ 50000 Mi.	 Gas	2	V8	 All Wheel Drive	 Premium unleaded (required)	 4.2 L	 430 hp @ 7900 rpm	 317 ft-lbs. @ 4500 rpm	$129,400	        Yes	        Yes	        No
Audi	Q7	2014 Q7 SUV	2014	 16/22 mpg	SUV	 8-speed Shiftable Automatic	 4 Yr./ 50000 Mi.	 Gas	7	V6	 All Wheel Drive	 Premium unleaded (required)	 3.0 L	 280 hp @ 4920 rpm	 295 ft-lbs. @ 2250 rpm	$47,700	        Yes	        Yes	        No
Audi	R8	2014 R8 Convertible	2014	 11/20 mpg	Convertible	 6-speed Manual	 4 Yr./ 50000 Mi.	 Gas	2	V8	 All Wheel Drive	 Premium unleaded (required)	 4.2 L	 430 hp @ 7900 rpm	 317 ft-lbs. @ 4500 rpm	$128,400	        Yes	        Yes	        No
Audi	R8	2016 R8 Coupe	2016	Not Available	Coupe	Not Available	Not Available	 Gas	Not Available	Not Available	 All Wheel Drive	 Regular unleaded	Not Available	Not Available	Not Available	Not Available	Not Available	Not Available	Not Available
Audi	R8	2015 R8 Coupe	2015	 11/20 mpg	Coupe	 6-speed Manual	 4 Yr./ 50000 Mi.	 Gas	2	V8	 All Wheel Drive	 Premium unleaded (required)	 4.2 L	 430 hp @ 7900 rpm	 317 ft-lbs. @ 4500 rpm	$115,900	        Yes	        Yes	        No
Audi	R8	2014 R8 Coupe	2014	 11/20 mpg	Coupe	 6-speed Manual	 4 Yr./ 50000 Mi.	 Gas	2	V8	 All Wheel Drive	 Premium unleaded (required)	 4.2 L	 430 hp @ 7900 rpm	 317 ft-lbs. @ 4500 rpm	$114,900	        Yes	        Yes	        No
Audi	S5	2015 S5 Convertible	2015	 18/26 mpg	Convertible	 7-speed Automated Manual	 4 Yr./ 50000 Mi.	 Gas	4	V6	 All Wheel Drive	 Premium unleaded (required)	 3.0 L	 333 hp @ 5500 rpm	 325 ft-lbs. @ 2900 rpm	$60,900	        Yes	        Yes	        No
Audi	S5	2015 S5 Coupe	2015	 17/26 mpg	Coupe	 6-speed Manual	 4 Yr./ 50000 Mi.	 Gas	4	V6	 All Wheel Drive	 Premium unleaded (required)	 3.0 L	 333 hp @ 5500 rpm	 325 ft-lbs. @ 2900 rpm	$52,500	        Yes	        Yes	        No
Audi	S5	2014 S5 Convertible	2014	 18/26 mpg	Convertible	 7-speed Automated Manual	 4 Yr./ 50000 Mi.	 Gas	4	V6	 All Wheel Drive	 Premium unleaded (required)	 3.0 L	 333 hp @ 5500 rpm	 325 ft-lbs. @ 2900 rpm	$60,400	        Yes	        Yes	        No
Audi	S5	2014 S5 Coupe	2014	 17/26 mpg	Coupe	 6-speed Manual	 4 Yr./ 50000 Mi.	 Gas	4	V6	 All Wheel Drive	 Premium unleaded (required)	 3.0 L	 333 hp @ 5500 rpm	 325 ft-lbs. @ 2900 rpm	$52,000	        Yes	        Yes	        No
Audi	S5	2016 S5 Coupe	2016	 17/26 mpg	Coupe	 6-speed Manual	 4 Yr./ 50000 Mi.	 Gas	4	V6	 All Wheel Drive	 Premium unleaded (required)	 3.0 L	 333 hp @ 5500 rpm	 325 ft-lbs. @ 2900 rpm	$53,100	        Yes	        Yes	        No
Audi	S4	2016 S4 Sedan	2016	 17/26 mpg	Sedan	 6-speed Manual	 4 Yr./ 50000 Mi.	 Gas	5	V6	 All Wheel Drive	 Premium unleaded (required)	 3.0 L	 333 hp @ 5500 rpm	 325 ft-lbs. @ 2900 rpm	$49,200	        Yes	        Yes	        No
Audi	S4	2015 S4 Sedan	2015	 17/26 mpg	Sedan	 6-speed Manual	 4 Yr./ 50000 Mi.	 Gas	5	V6	 All Wheel Drive	 Premium unleaded (required)	 3.0 L	 333 hp @ 5500 rpm	 325 ft-lbs. @ 2900 rpm	$48,400	        Yes	        Yes	        No
Audi	S4	2014 S4 Sedan	2014	 17/26 mpg	Sedan	 6-speed Manual	 4 Yr./ 50000 Mi.	 Gas	5	V6	 All Wheel Drive	 Premium unleaded (required)	 3.0 L	 333 hp @ 5500 rpm	 325 ft-lbs. @ 2900 rpm	$48,100	        Yes	        Yes	        No
Audi	S3	2016 S3 Sedan	2016	 23/31 mpg	Sedan	 6-speed Automated Manual	 4 Yr./ 50000 Mi.	 Gas	5	Inline 4	 All Wheel Drive	 Premium unleaded (required)	 2.0 L	 292 hp @ 5400 rpm	 280 ft-lbs. @ 1900 rpm	$42,500	        Yes	        Yes	        No
Audi	S6	2014 S6 Sedan	2014	 17/27 mpg	Sedan	 7-speed Automated Manual	 4 Yr./ 50000 Mi.	 Gas	5	V8	 All Wheel Drive	 Premium unleaded (required)	 4.0 L	 420 hp @ 5500 rpm	 406 ft-lbs. @ 1400 rpm	$73,400	        Yes	        Yes	        Yes
Audi	S3	2015 S3 Sedan	2015	 23/31 mpg	Sedan	 6-speed Automated Manual	 4 Yr./ 50000 Mi.	 Gas	5	Inline 4	 All Wheel Drive	 Premium unleaded (required)	 2.0 L	 292 hp @ 5400 rpm	 280 ft-lbs. @ 1900 rpm	$41,100	        Yes	        Yes	        No
Audi	SQ5	2015 SQ5 SUV	2015	 17/24 mpg	SUV	 8-speed Shiftable Automatic	 4 Yr./ 50000 Mi.	 Gas	5	V6	 All Wheel Drive	 Premium unleaded (required)	 3.0 L	 354 hp @ 6000 rpm	 346 ft-lbs. @ 4000 rpm	$52,700	        Yes	        Yes	        No
Audi	S7	2016 S7 Sedan	2016	 17/27 mpg	Sedan	 7-speed Automated Manual	 4 Yr./ 50000 Mi.	 Gas	4	V8	 All Wheel Drive	 Premium unleaded (required)	 4.0 L	 450 hp @ 5800 rpm	 406 ft-lbs. @ 1400 rpm	$82,900	        Yes	        Yes	        Yes
Audi	SQ5	2014 SQ5 SUV	2014	 16/23 mpg	SUV	 8-speed Shiftable Automatic	 4 Yr./ 50000 Mi.	 Gas	5	V6	 All Wheel Drive	 Premium unleaded (required)	 3.0 L	 354 hp @ 6000 rpm	 347 ft-lbs. @ 4000 rpm	$51,900	        Yes	        Yes	        No
Audi	TT	2014 TT Convertible	2014	 22/31 mpg	Convertible	 6-speed Automated Manual	 4 Yr./ 50000 Mi.	 Gas	2	Inline 4	 All Wheel Drive	 Premium unleaded (required)	 2.0 L	 211 hp @ 4300 rpm	 258 ft-lbs. @ 1600 rpm	$42,900	        Yes	        Yes	        No
Audi	TTS	2015 TTS Convertible	2015	 22/31 mpg	Convertible	 6-speed Automated Manual	 4 Yr./ 50000 Mi.	 Gas	2	Inline 4	 All Wheel Drive	 Premium unleaded (required)	 2.0 L	 265 hp @ 6000 rpm	 258 ft-lbs. @ 2500 rpm	$51,700	        Yes	        Yes	        No
Audi	TTS	2014 TTS Convertible	2014	 22/31 mpg	Convertible	 6-speed Automated Manual	 4 Yr./ 50000 Mi.	 Gas	2	Inline 4	 All Wheel Drive	 Premium unleaded (required)	 2.0 L	 265 hp @ 6000 rpm	 258 ft-lbs. @ 2500 rpm	$51,700	        Yes	        Yes	        No
Audi	TT	2016 TT Coupe	2016	 23/30 mpg	Coupe	 6-speed Automated Manual	 4 Yr./ 50000 Mi.	 Gas	4	Inline 4	 All Wheel Drive	 Premium unleaded (recommended)	 2.0 L	 220 hp @ 4500 rpm	 258 ft-lbs. @ 1600 rpm	$42,900	        Yes	        No	        No
Audi	TT	2015 TT Coupe	2015	 22/31 mpg	Coupe	 6-speed Automated Manual	 4 Yr./ 50000 Mi.	 Gas	4	Inline 4	 All Wheel Drive	 Premium unleaded (recommended)	 2.0 L	 211 hp @ 4300 rpm	 258 ft-lbs. @ 1600 rpm	$40,350	        Yes	        No	        No
Audi	S7	2015 S7 Sedan	2015	 17/27 mpg	Sedan	 7-speed Automated Manual	 4 Yr./ 50000 Mi.	 Gas	4	V8	 All Wheel Drive	 Premium unleaded (required)	 4.0 L	 420 hp @ 5500 rpm	 406 ft-lbs. @ 1400 rpm	$82,500	        Yes	        Yes	        Yes
Audi	S7	2014 S7 Sedan	2014	 17/27 mpg	Sedan	 7-speed Automated Manual	 4 Yr./ 50000 Mi.	 Gas	4	V8	 All Wheel Drive	 Premium unleaded (required)	 4.0 L	 420 hp @ 5500 rpm	 406 ft-lbs. @ 1400 rpm	$80,200	        Yes	        Yes	        Yes
Audi	TT	2014 TT Coupe	2014	 22/31 mpg	Coupe	 6-speed Automated Manual	 4 Yr./ 50000 Mi.	 Gas	4	Inline 4	 All Wheel Drive	 Premium unleaded (required)	 2.0 L	 211 hp @ 4300 rpm	 258 ft-lbs. @ 1600 rpm	$39,900	        Yes	        Yes	        No
Audi	allroad	2016 allroad Wagon	2016	 21/28 mpg	Wagon	 8-speed Shiftable Automatic	 4 Yr./ 50000 Mi.	 Gas	5	Inline 4	 All Wheel Drive	 Premium unleaded (recommended)	 2.0 L	 220 hp @ 4450 rpm	 258 ft-lbs. @ 1500 rpm	$42,700	        Yes	        Yes	        No
Audi	allroad	2015 allroad Wagon	2015	 21/28 mpg	Wagon	 8-speed Shiftable Automatic	 4 Yr./ 50000 Mi.	 Gas	5	Inline 4	 All Wheel Drive	 Premium unleaded (recommended)	 2.0 L	 220 hp @ 4450 rpm	 258 ft-lbs. @ 1500 rpm	$42,400	        Yes	        Yes	        No
Audi	allroad	2014 allroad Wagon	2014	 20/27 mpg	Wagon	 8-speed Shiftable Automatic	 4 Yr./ 50000 Mi.	 Gas	5	Inline 4	 All Wheel Drive	 Premium unleaded (recommended)	 2.0 L	 220 hp @ 4450 rpm	 258 ft-lbs. @ 1500 rpm	$40,700	        Yes	        Yes	        No
Audi	Q3	2016 Q3 SUV	2016	 20/29 mpg	SUV	 6-speed Shiftable Automatic	 4 Yr./ 50000 Mi.	 Gas	5	Inline 4	 Front Wheel Drive	 Premium unleaded (recommended)	 2.0 L	 200 hp @ 5100 rpm	 207 ft-lbs. @ 1700 rpm	$33,700	        Yes	        Yes	        No
Audi	Q3	2015 Q3 SUV	2015	 20/29 mpg	SUV	 6-speed Shiftable Automatic	 4 Yr./ 50000 Mi.	 Gas	5	Inline 4	 Front Wheel Drive	 Premium unleaded (recommended)	 2.0 L	 200 hp @ 5100 rpm	 207 ft-lbs. @ 1700 rpm	$32,500	        Yes	        Yes	        No
Audi	A6	2016 A6 Sedan	2016	 24/35 mpg	Sedan	 7-speed Automated Manual	 4 Yr./ 50000 Mi.	 Gas	5	Inline 4	 Front Wheel Drive	 Premium unleaded (required)	 2.0 L	 252 hp @ 5000 rpm	 273 ft-lbs. @ 1600 rpm	$46,200	        Yes	        Yes	        No
Audi	A6	2016 A6 Diesel	2016	 25/38 mpg	Sedan	 8-speed Shiftable Automatic	 4 Yr./ 50000 Mi.	 Diesel	5	V6	 All Wheel Drive	 Diesel	 3.0 L	 240 hp @ 3500 rpm	 428 ft-lbs. @ 1750 rpm	$59,500	        Yes	        Yes	        Yes
Audi	A6	2015 A6 Sedan	2015	 25/33 mpg	Sedan	 Continuously Variable-speed Automatic	 4 Yr./ 50000 Mi.	 Gas	5	Inline 4	 Front Wheel Drive	 Premium unleaded (required)	 2.0 L	 220 hp @ 4450 rpm	 258 ft-lbs. @ 1500 rpm	$44,800	        Yes	        Yes	        No
Audi	A6	2015 A6 Diesel	2015	 24/38 mpg	Sedan	 8-speed Shiftable Automatic	 4 Yr./ 50000 Mi.	 Diesel	5	V6	 All Wheel Drive	 Diesel	 3.0 L	 240 hp @ 3500 rpm	 428 ft-lbs. @ 1750 rpm	$58,700	        Yes	        Yes	        Yes
Audi	A5	2017 A5 Coupe	2017	Not Available	Coupe	Not Available	Not Available	 Gas	Not Available	Not Available	 All Wheel Drive	 Premium unleaded (required)	Not Available	Not Available	Not Available	Not Available	Not Available	Not Available	Not Available
Audi	A6	2014 A6 Diesel	2014	 24/38 mpg	Sedan	 8-speed Shiftable Automatic	 4 Yr./ 50000 Mi.	 Diesel	5	V6	 All Wheel Drive	 Diesel	 3.0 L	 240 hp @ 3500 rpm	 428 ft-lbs. @ 1750 rpm	$57,500	        Yes	        Yes	        Yes
Audi	A6	2014 A6 Sedan	2014	 25/33 mpg	Sedan	 Continuously Variable-speed Automatic	 4 Yr./ 50000 Mi.	 Gas	5	Inline 4	 Front Wheel Drive	 Premium unleaded (required)	 2.0 L	 220 hp @ 4450 rpm	 258 ft-lbs. @ 1500 rpm	$43,100	        Yes	        Yes	        No
Audi	A5	2016 A5 Coupe	2016	 22/32 mpg	Coupe	 6-speed Manual	 4 Yr./ 50000 Mi.	 Gas	4	Inline 4	 All Wheel Drive	 Premium unleaded (required)	 2.0 L	 220 hp @ 4450 rpm	 258 ft-lbs. @ 1500 rpm	$40,500	        Yes	        Yes	        No
Audi	A5	2015 A5 Coupe	2015	 22/32 mpg	Coupe	 6-speed Manual	 4 Yr./ 50000 Mi.	 Gas	4	Inline 4	 All Wheel Drive	 Premium unleaded (required)	 2.0 L	 220 hp @ 4450 rpm	 258 ft-lbs. @ 1500 rpm	$40,000	        Yes	        Yes	        No
Audi	A5	2016 A5 Convertible	2016	 21/29 mpg	Convertible	 8-speed Shiftable Automatic	 4 Yr./ 50000 Mi.	 Gas	4	Inline 4	 All Wheel Drive	 Premium unleaded (required)	 2.0 L	 220 hp @ 4450 rpm	 258 ft-lbs. @ 1500 rpm	$47,900	        Yes	        Yes	        No
Audi	A5	2015 A5 Convertible	2015	 20/28 mpg	Convertible	 8-speed Shiftable Automatic	 4 Yr./ 50000 Mi.	 Gas	4	Inline 4	 All Wheel Drive	 Premium unleaded (required)	 2.0 L	 220 hp @ 4450 rpm	 258 ft-lbs. @ 1500 rpm	$47,600	        Yes	        Yes	        No
Audi	A3	2016 A3 Diesel	2016	Not Available	Not Available	Not Available	Not Available	Not Available	Not Available	Not Available	Not Available	 Diesel	Not Available	Not Available	Not Available	$33,200	Not Available	Not Available	Not Available
Audi	A3	2016 A3 Hatchback	2016	Not Available	Hatchback	Not Available	Not Available	 Diesel	Not Available	Not Available	Not Available	 Diesel	Not Available	Not Available	Not Available	Not Available	Not Available	Not Available	Not Available
Audi	A3	2016 A3 Sedan	2016	 23/33 mpg	Sedan	 6-speed Automated Manual	 4 Yr./ 50000 Mi.	 Gas	5	Inline 4	 Front Wheel Drive	 Premium unleaded (recommended)	 1.8 L	 170 hp @ 4500 rpm	 200 ft-lbs. @ 1600 rpm	$30,900	        Yes	        Yes	        No
Audi	A3	2015 A3 Diesel	2015	 31/43 mpg	Sedan	 6-speed Automated Manual	 4 Yr./ 50000 Mi.	 Diesel	5	Inline 4	 Front Wheel Drive	 Diesel	 2.0 L	 150 hp @ 3500 rpm	 236 ft-lbs. @ 1750 rpm	$32,600	        Yes	        Yes	        No
Audi	A3	2015 A3 Sedan	2015	 23/33 mpg	Sedan	 6-speed Automated Manual	 4 Yr./ 50000 Mi.	 Gas	5	Inline 4	 Front Wheel Drive	 Premium unleaded (recommended)	 1.8 L	 170 hp @ 4500 rpm	 200 ft-lbs. @ 1600 rpm	$29,900	        No	        Yes	        No
Audi	A4	2017 A4 Sedan	2017	Not Available	Sedan	Not Available	Not Available	 Gas	Not Available	Not Available	 Rear Wheel Drive	 Premium unleaded (required)	Not Available	Not Available	Not Available	Not Available	Not Available	Not Available	Not Available
Audi	A4	2016 A4 Sedan	2016	 22/31 mpg	Sedan	 Continuously Variable-speed Automatic	 4 Yr./ 50000 Mi.	 Gas	5	Inline 4	 Front Wheel Drive	 Premium unleaded (required)	 2.0 L	 220 hp @ 4450 rpm	 258 ft-lbs. @ 1500 rpm	$35,900	        Yes	        Yes	        No
Audi	A5	2014 A5 Convertible	2014	 24/32 mpg	Convertible	 Continuously Variable-speed Automatic	 4 Yr./ 50000 Mi.	 Gas	4	Inline 4	 Front Wheel Drive	 Premium unleaded (required)	 2.0 L	 220 hp @ 4450 rpm	 258 ft-lbs. @ 1500 rpm	$44,500	        Yes	        Yes	        No
Audi	A3 Sportback e-tron	2016 A3 Sportback e-tron Hatchback	2016	Not Available	Hatchback	 6-speed Automated Manual	 4 Yr./ 50000 Mi.	 Hybrid	5	Inline 4	 Front Wheel Drive	 Premium unleaded (recommended)	 1.4 L	Not Available	Not Available	$37,900	        Yes	        Yes	        No
Audi	A4	2015 A4 Sedan	2015	 24/32 mpg	Sedan	 Continuously Variable-speed Automatic	 4 Yr./ 50000 Mi.	 Gas	5	Inline 4	 Front Wheel Drive	 Premium unleaded (required)	 2.0 L	 220 hp @ 4450 rpm	 258 ft-lbs. @ 1500 rpm	$35,500	        Yes	        Yes	        No
Audi	A5	2014 A5 Coupe	2014	 22/32 mpg	Coupe	 6-speed Manual	 4 Yr./ 50000 Mi.	 Gas	4	Inline 4	 All Wheel Drive	 Premium unleaded (required)	 2.0 L	 220 hp @ 4450 rpm	 258 ft-lbs. @ 1500 rpm	$39,000	        Yes	        Yes	        No
Audi	A4	2014 A4 Sedan	2014	 24/32 mpg	Sedan	 Continuously Variable-speed Automatic	 4 Yr./ 50000 Mi.	 Gas	5	Inline 4	 Front Wheel Drive	 Premium unleaded (required)	 2.0 L	 220 hp @ 4450 rpm	 258 ft-lbs. @ 1500 rpm	$33,800	        Yes	        Yes	        No
Audi	A7	2016 A7 Diesel	2016	 25/38 mpg	Sedan	 8-speed Shiftable Automatic	 4 Yr./ 50000 Mi.	 Diesel	5	V6	 All Wheel Drive	 Diesel	 3.0 L	 240 hp @ 3500 rpm	 428 ft-lbs. @ 1750 rpm	$70,400	        Yes	        Yes	        Yes
Audi	A7	2016 A7 Sedan	2016	 20/30 mpg	Sedan	 8-speed Shiftable Automatic	 4 Yr./ 50000 Mi.	 Gas	5	V6	 All Wheel Drive	 Premium unleaded (required)	 3.0 L	 333 hp @ 5300 rpm	 325 ft-lbs. @ 2900 rpm	$68,300	        Yes	        Yes	        Yes
Audi	A7	2014 A7 Sedan	2014	 18/28 mpg	Sedan	 8-speed Shiftable Automatic	 4 Yr./ 50000 Mi.	 Gas	5	V6	 All Wheel Drive	 Premium unleaded (required)	 3.0 L	 310 hp @ 5500 rpm	 325 ft-lbs. @ 2900 rpm	$64,500	        Yes	        Yes	        Yes
Audi	A7	2015 A7 Sedan	2015	 18/28 mpg	Sedan	 8-speed Shiftable Automatic	 4 Yr./ 50000 Mi.	 Gas	5	V6	 All Wheel Drive	 Premium unleaded (required)	 3.0 L	 310 hp @ 5500 rpm	 325 ft-lbs. @ 2900 rpm	$65,900	        Yes	        Yes	        Yes
Audi	A7	2015 A7 Diesel	2015	 24/38 mpg	Sedan	 8-speed Shiftable Automatic	 4 Yr./ 50000 Mi.	 Diesel	5	V6	 All Wheel Drive	 Diesel	 3.0 L	 240 hp @ 3500 rpm	 428 ft-lbs. @ 1750 rpm	$68,300	        Yes	        Yes	        Yes
Audi	A8	2016 A8 Diesel	2016	 24/36 mpg	Sedan	 8-speed Shiftable Automatic	 4 Yr./ 50000 Mi.	 Diesel	5	V6	 All Wheel Drive	 Diesel	 3.0 L	 240 hp @ 3500 rpm	 428 ft-lbs. @ 1750 rpm	$85,200	        Yes	        Yes	        Yes
Audi	A7	2014 A7 Diesel	2014	 24/38 mpg	Sedan	 8-speed Shiftable Automatic	 4 Yr./ 50000 Mi.	 Diesel	5	V6	 All Wheel Drive	 Diesel	 3.0 L	 240 hp @ 3500 rpm	 428 ft-lbs. @ 1750 rpm	$66,900	        Yes	        Yes	        Yes
Audi	A8	2015 A8 Diesel	2015	 24/36 mpg	Sedan	 8-speed Shiftable Automatic	 4 Yr./ 50000 Mi.	 Diesel	Not Available	V6	 All Wheel Drive	 Diesel	 3.0 L	 240 hp @ 3500 rpm	 428 ft-lbs. @ 1750 rpm	$85,100	        Yes	        Yes	        Yes
Audi	A8	2014 A8 Diesel	2014	 24/36 mpg	Sedan	 8-speed Shiftable Automatic	 4 Yr./ 50000 Mi.	 Diesel	5	V6	 All Wheel Drive	 Diesel	 3.0 L	 240 hp @ 3550 rpm	 406 ft-lbs. @ 1750 rpm	$82,500	        Yes	        Yes	        Yes
Audi	A8	2016 A8 Sedan	2016	 18/28 mpg	Sedan	 8-speed Shiftable Automatic	 4 Yr./ 50000 Mi.	 Gas	5	V6	 All Wheel Drive	 Premium unleaded (required)	 3.0 L	 333 hp @ 5300 rpm	 325 ft-lbs. @ 2900 rpm	$81,500	        Yes	        Yes	        Yes
Audi	A8	2014 A8 Sedan	2014	 18/28 mpg	Sedan	 8-speed Shiftable Automatic	 4 Yr./ 50000 Mi.	 Gas	5	V6	 All Wheel Drive	 Premium unleaded (required)	 3.0 L	 333 hp @ 5500 rpm	 325 ft-lbs. @ 2900 rpm	$75,100	        Yes	        Yes	        Yes
Audi	Q5	2016 Q5 Diesel	2016	 24/31 mpg	SUV	 8-speed Shiftable Automatic	 4 Yr./ 50000 Mi.	 Diesel	5	V6	 All Wheel Drive	 Diesel	 3.0 L	 240 hp @ 3750 rpm	 428 ft-lbs. @ 1750 rpm	$48,100	        Yes	        Yes	        No
Audi	A8	2015 A8 Sedan	2015	 19/29 mpg	Sedan	 8-speed Shiftable Automatic	 4 Yr./ 50000 Mi.	 Gas	Not Available	V6	 All Wheel Drive	 Premium unleaded (required)	 3.0 L	 333 hp @ 5300 rpm	 325 ft-lbs. @ 2900 rpm	$77,400	        Yes	        Yes	        Yes
Audi	Q5	2015 Q5 Diesel	2015	 24/31 mpg	SUV	 8-speed Shiftable Automatic	 4 Yr./ 50000 Mi.	 Diesel	5	V6	 All Wheel Drive	 Diesel	 3.0 L	 240 hp @ 3750 rpm	 428 ft-lbs. @ 1750 rpm	$47,500	        Yes	        Yes	        No
Audi	Q5	2014 Q5 Diesel	2014	 24/31 mpg	SUV	 8-speed Shiftable Automatic	 4 Yr./ 50000 Mi.	 Diesel	5	V6	 All Wheel Drive	 Diesel	 3.0 L	 240 hp @ 3750 rpm	 428 ft-lbs. @ 1750 rpm	$46,500	        Yes	        Yes	        No
Audi	A3	2016 A3 Convertible	2016	 24/35 mpg	Convertible	 6-speed Automated Manual	 4 Yr./ 50000 Mi.	 Gas	4	Inline 4	 Front Wheel Drive	 Premium unleaded (recommended)	 1.8 L	 170 hp @ 4500 rpm	 200 ft-lbs. @ 1600 rpm	$36,600	        Yes	        Yes	        No
Jeep	Grand Cherokee SRT	2016 Grand Cherokee SRT SUV	2016	Not Available	SUV	 8-speed Shiftable Automatic	 3 Yr./ 36000 Mi.	 Gas	5	V8	 Four Wheel Drive	 Premium unleaded (recommended)	 6.4 L	 475 hp @ 6000 rpm	 470 ft-lbs. @ 4300 rpm	$65,495	        Yes	        Yes	        Yes
Jeep	Grand Cherokee SRT	2015 Grand Cherokee SRT SUV	2015	 13/19 mpg	SUV	 8-speed Shiftable Automatic	 3 Yr./ 36000 Mi.	 Gas	5	V8	 Four Wheel Drive	 Premium unleaded (recommended)	 6.4 L	 470 hp @ 6000 rpm	 465 ft-lbs. @ 4300 rpm	$64,895	        Yes	        Yes	        Yes
Audi	A3	2015 A3 Convertible	2015	 24/35 mpg	Convertible	 6-speed Automated Manual	 4 Yr./ 50000 Mi.	 Gas	4	Inline 4	 Front Wheel Drive	 Premium unleaded (recommended)	 1.8 L	 170 hp @ 4500 rpm	 200 ft-lbs. @ 1600 rpm	$35,600	        Yes	        Yes	        No
Jeep	Grand Cherokee	2016 Grand Cherokee SUV	2016	 17/25 mpg	SUV	 8-speed Shiftable Automatic	 3 Yr./ 36000 Mi.	 Flex-fuel (ffv)	5	V6	 Rear Wheel Drive	 Flex-fuel (FFV)	 3.6 L	 290 hp @ 6400 rpm	 260 ft-lbs. @ 4800 rpm	$29,995	        Yes	        Yes	        No
Dodge	Journey	2016 Journey SUV	2016	 19/26 mpg	SUV	 4-speed Shiftable Automatic	 3 Yr./ 36000 Mi.	 Gas	5	Inline 4	 Front Wheel Drive	 Regular unleaded	 2.4 L	 173 hp @ 6000 rpm	 166 ft-lbs. @ 4000 rpm	$20,995	        No	        No	        No
Jeep	Grand Cherokee	2015 Grand Cherokee SUV	2015	 17/25 mpg	SUV	 8-speed Shiftable Automatic	 3 Yr./ 36000 Mi.	 Flex-fuel (ffv)	5	V6	 Rear Wheel Drive	 Flex-fuel (FFV)	 3.6 L	 290 hp @ 6400 rpm	 260 ft-lbs. @ 4800 rpm	$29,995	        Yes	        Yes	        No
Jeep	Grand Cherokee	2014 Grand Cherokee SUV	2014	 17/25 mpg	SUV	 8-speed Shiftable Automatic	 3 Yr./ 36000 Mi.	 Flex-fuel (ffv)	5	V6	 Rear Wheel Drive	 Flex-fuel (FFV)	 3.6 L	 290 hp @ 6400 rpm	 260 ft-lbs. @ 4800 rpm	$29,395	        Yes	        Yes	        No
Dodge	Journey	2015 Journey SUV	2015	 19/26 mpg	SUV	 4-speed Shiftable Automatic	 3 Yr./ 36000 Mi.	 Gas	5	Inline 4	 Front Wheel Drive	 Regular unleaded	 2.4 L	 173 hp @ 6000 rpm	 166 ft-lbs. @ 4000 rpm	$20,695	        No	        No	        No
Dodge	Grand Caravan	2016 Grand Caravan Minivan	2016	 17/25 mpg	Minivan	 6-speed Shiftable Automatic	 3 Yr./ 36000 Mi.	 Flex-fuel (ffv)	7	V6	 Front Wheel Drive	 Flex-fuel (FFV)	 3.6 L	 283 hp @ 6400 rpm	 260 ft-lbs. @ 4400 rpm	$21,995	        No	        No	        No
Dodge	Grand Caravan	2015 Grand Caravan Minivan	2015	 17/25 mpg	Minivan	 6-speed Shiftable Automatic	 3 Yr./ 36000 Mi.	 Flex-fuel (ffv)	7	V6	 Front Wheel Drive	 Flex-fuel (FFV)	 3.6 L	 283 hp @ 6400 rpm	 260 ft-lbs. @ 4400 rpm	$21,795	        No	        No	        No
Dodge	Charger	2016 Charger SRT 392	2016	 15/25 mpg	Sedan	 8-speed Shiftable Automatic	 3 Yr./ 36000 Mi.	 Gas	5	V8	 Rear Wheel Drive	 Premium unleaded (recommended)	 6.4 L	 485 hp @ 6000 rpm	 475 ft-lbs. @ 4200 rpm	$50,995	        Yes	        Yes	        Yes
Dodge	Charger	2015 Charger SRT 392	2015	 15/25 mpg	Sedan	 8-speed Shiftable Automatic	 3 Yr./ 36000 Mi.	 Gas	5	V8	 Rear Wheel Drive	 Premium unleaded (recommended)	 6.4 L	 485 hp @ 6000 rpm	 475 ft-lbs. @ 4200 rpm	$47,995	        Yes	        Yes	        No
